Readable Timestamp,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Measurement ID,Water Temperature_groundtruth,Turbidity_groundtruth,Wave Height_groundtruth,Wave Period_groundtruth
2015-05-19 23:00:00,63rd Street Beach,1432076400,10.8,1.19,0.217,3.0,63rdStreetBeach201505192300,10.8,1.19,0.217,3.0
2015-05-20 00:00:00,Calumet Beach,1432080000,12.1,2.16,0.245,3.0,CalumetBeach201505200000,12.1,2.16,0.245,3.0
2015-05-20 00:00:00,Montrose Beach,1432080000,12.0,0.5,0.257,4.0,MontroseBeach201505200000,12.0,0.5,0.257,4.0
2015-05-20 00:00:00,63rd Street Beach,1432080000,10.7,1.25,0.226,3.0,63rdStreetBeach201505200000,10.7,1.25,0.226,3.0
2015-05-20 01:00:00,Calumet Beach,1432083600,12.1,1.78,0.24,3.0,CalumetBeach201505200100,12.1,1.78,0.24,3.0
2015-05-20 01:00:00,Montrose Beach,1432083600,11.9,0.55,0.299,4.0,MontroseBeach201505200100,11.9,0.55,0.299,4.0
2015-05-20 01:00:00,63rd Street Beach,1432083600,10.5,1.53,0.237,3.0,63rdStreetBeach201505200100,10.5,1.53,0.237,3.0
2015-05-20 02:00:00,Calumet Beach,1432087200,12.1,1.7,0.226,3.0,CalumetBeach201505200200,12.1,1.7,0.226,3.0
2015-05-20 02:00:00,Montrose Beach,1432087200,11.8,0.72,0.358,4.0,MontroseBeach201505200200,11.8,0.72,0.358,4.0
2015-05-20 02:00:00,63rd Street Beach,1432087200,10.1,2.44,0.271,3.0,63rdStreetBeach201505200200,10.1,2.44,0.271,3.0
2015-05-20 03:00:00,63rd Street Beach,1432090800,10.3,1.63,0.286,5.0,63rdStreetBeach201505200300,10.3,1.63,0.286,5.0
2015-05-20 03:00:00,Calumet Beach,1432090800,12.0,1.6,0.24,3.0,CalumetBeach201505200300,12.0,1.6,0.24,3.0
2015-05-20 03:00:00,Montrose Beach,1432090800,11.8,0.86,0.339,3.0,MontroseBeach201505200300,11.8,0.86,0.339,3.0
2015-05-20 04:00:00,63rd Street Beach,1432094400,10.2,1.63,0.294,4.0,63rdStreetBeach201505200400,10.2,1.63,0.294,4.0
2015-05-20 04:00:00,Montrose Beach,1432094400,11.7,0.95,0.333,3.0,MontroseBeach201505200400,11.7,0.95,0.333,3.0
2015-05-20 04:00:00,Calumet Beach,1432094400,12.0,1.51,0.238,3.0,CalumetBeach201505200400,12.0,1.51,0.238,3.0
2015-05-20 05:00:00,63rd Street Beach,1432098000,10.1,2.25,0.292,4.0,63rdStreetBeach201505200500,10.1,2.25,0.292,4.0
2015-05-20 05:00:00,Calumet Beach,1432098000,11.4,2.75,0.247,4.0,CalumetBeach201505200500,11.4,2.75,0.247,4.0
2015-05-20 05:00:00,Montrose Beach,1432098000,11.7,1.08,0.337,4.0,MontroseBeach201505200500,11.7,1.08,0.337,4.0
2015-05-20 06:00:00,63rd Street Beach,1432101600,10.3,1.95,0.299,4.0,63rdStreetBeach201505200600,10.3,1.95,0.299,4.0
2015-05-20 06:00:00,Calumet Beach,1432101600,11.5,2.26,0.262,3.0,CalumetBeach201505200600,11.5,2.26,0.262,3.0
2015-05-20 06:00:00,Montrose Beach,1432101600,11.6,1.29,0.342,5.0,MontroseBeach201505200600,11.6,1.29,0.342,5.0
2015-05-20 07:00:00,Calumet Beach,1432105200,11.6,2.29,0.262,3.0,CalumetBeach201505200700,11.6,2.29,0.262,3.0
2015-05-20 07:00:00,Montrose Beach,1432105200,11.6,1.47,0.332,5.0,MontroseBeach201505200700,11.6,1.47,0.332,5.0
2015-05-20 07:00:00,63rd Street Beach,1432105200,10.4,1.68,0.293,4.0,63rdStreetBeach201505200700,10.4,1.68,0.293,4.0
2015-05-20 08:00:00,63rd Street Beach,1432108800,10.1,2.62,0.29,3.0,63rdStreetBeach201505200800,10.1,2.62,0.29,3.0
2015-05-20 08:00:00,Montrose Beach,1432108800,11.6,1.56,0.329,3.0,MontroseBeach201505200800,11.6,1.56,0.329,3.0
2015-05-20 08:00:00,Calumet Beach,1432108800,11.8,2.38,0.247,3.0,CalumetBeach201505200800,11.8,2.38,0.247,3.0
2015-05-20 09:00:00,Calumet Beach,1432112400,11.9,2.75,0.269,5.0,CalumetBeach201505200900,11.9,2.75,0.269,5.0
2015-05-20 09:00:00,Montrose Beach,1432112400,11.7,1.62,0.321,5.0,MontroseBeach201505200900,11.7,1.62,0.321,5.0
2015-05-20 09:00:00,63rd Street Beach,1432112400,10.6,1.89,0.28,4.0,63rdStreetBeach201505200900,10.6,1.89,0.28,4.0
2015-05-20 10:00:00,63rd Street Beach,1432116000,10.675,1.9449999999999998,0.28600000000000003,4.0,63rdStreetBeach201505201000,10.675,1.9449999999999998,0.28600000000000003,4.0
2015-05-20 10:00:00,Montrose Beach,1432116000,11.8,1.68,0.321,4.0,MontroseBeach201505201000,11.8,1.68,0.321,4.0
2015-05-20 10:00:00,Calumet Beach,1432116000,11.9,3.74,0.267,4.0,CalumetBeach201505201000,11.9,3.74,0.267,4.0
2015-05-20 11:00:00,Calumet Beach,1432119600,12.2,2.85,0.248,4.0,CalumetBeach201505201100,12.2,2.85,0.248,4.0
2015-05-20 11:00:00,Montrose Beach,1432119600,11.9,1.79,0.32,4.0,MontroseBeach201505201100,11.9,1.79,0.32,4.0
2015-05-20 11:00:00,63rd Street Beach,1432119600,10.75,2.0,0.29200000000000004,4.0,63rdStreetBeach201505201100,10.75,2.0,0.29200000000000004,4.0
2015-05-20 12:00:00,63rd Street Beach,1432123200,10.825,2.0549999999999997,0.298,4.0,63rdStreetBeach201505201200,10.825,2.0549999999999997,0.298,4.0
2015-05-20 12:00:00,Montrose Beach,1432123200,11.4,1.97,0.32,4.0,MontroseBeach201505201200,11.4,1.97,0.32,4.0
2015-05-20 12:00:00,Calumet Beach,1432123200,12.3,2.98,0.23,4.0,CalumetBeach201505201200,12.3,2.98,0.23,4.0
2015-05-20 13:00:00,Calumet Beach,1432126800,12.3,2.67,0.221,4.0,CalumetBeach201505201300,12.3,2.67,0.221,4.0
2015-05-20 13:00:00,Montrose Beach,1432126800,11.4,1.97,0.347,4.0,MontroseBeach201505201300,11.4,1.97,0.347,4.0
2015-05-20 13:00:00,63rd Street Beach,1432126800,10.9,2.11,0.304,4.0,63rdStreetBeach201505201300,10.9,2.11,0.304,4.0
2015-05-20 14:00:00,63rd Street Beach,1432130400,11.0,3.52,0.321,3.0,63rdStreetBeach201505201400,11.0,3.52,0.321,3.0
2015-05-20 14:00:00,Montrose Beach,1432130400,11.6,2.3,0.345,3.0,MontroseBeach201505201400,11.6,2.3,0.345,3.0
2015-05-20 14:00:00,Calumet Beach,1432130400,12.3,2.67,0.211,3.0,CalumetBeach201505201400,12.3,2.67,0.211,3.0
2015-05-20 15:00:00,Montrose Beach,1432134000,11.7,2.61,0.353,3.0,MontroseBeach201505201500,11.7,2.61,0.353,3.0
2015-05-20 15:00:00,Calumet Beach,1432134000,12.2,2.48,0.194,5.0,CalumetBeach201505201500,12.2,2.48,0.194,5.0
2015-05-20 15:00:00,63rd Street Beach,1432134000,10.7,2.52,0.315,4.0,63rdStreetBeach201505201500,10.7,2.52,0.315,4.0
2015-05-20 16:00:00,63rd Street Beach,1432137600,10.7,2.53,0.344,4.0,63rdStreetBeach201505201600,10.7,2.53,0.344,4.0
2015-05-20 16:00:00,Montrose Beach,1432137600,11.7,2.74,0.359,3.0,MontroseBeach201505201600,11.7,2.74,0.359,3.0
2015-05-20 16:00:00,Calumet Beach,1432137600,12.2,2.65,0.212,3.0,CalumetBeach201505201600,12.2,2.65,0.212,3.0
2015-05-20 17:00:00,Calumet Beach,1432141200,12.1,2.32,0.244,4.0,CalumetBeach201505201700,12.1,2.32,0.244,4.0
2015-05-20 17:00:00,Montrose Beach,1432141200,11.6,3.39,0.396,3.0,MontroseBeach201505201700,11.6,3.39,0.396,3.0
2015-05-20 17:00:00,63rd Street Beach,1432141200,10.8,2.92,0.386,4.0,63rdStreetBeach201505201700,10.8,2.92,0.386,4.0
2015-05-20 18:00:00,63rd Street Beach,1432144800,10.8,2.98,0.381,4.0,63rdStreetBeach201505201800,10.8,2.98,0.381,4.0
2015-05-20 18:00:00,Montrose Beach,1432144800,11.7,3.03,0.37,3.0,MontroseBeach201505201800,11.7,3.03,0.37,3.0
2015-05-20 18:00:00,Calumet Beach,1432144800,12.0,2.81,0.221,4.0,CalumetBeach201505201800,12.0,2.81,0.221,4.0
2015-05-20 19:00:00,Montrose Beach,1432148400,11.4,3.85,0.364,3.0,MontroseBeach201505201900,11.4,3.85,0.364,3.0
2015-05-20 19:00:00,Calumet Beach,1432148400,11.9,2.95,0.24,5.0,CalumetBeach201505201900,11.9,2.95,0.24,5.0
2015-05-20 19:00:00,63rd Street Beach,1432148400,10.6,3.12,0.362,4.0,63rdStreetBeach201505201900,10.6,3.12,0.362,4.0
2015-05-20 20:00:00,Calumet Beach,1432152000,11.8,2.31,0.229,5.0,CalumetBeach201505202000,11.8,2.31,0.229,5.0
2015-05-20 20:00:00,Montrose Beach,1432152000,11.4,3.48,0.325,3.0,MontroseBeach201505202000,11.4,3.48,0.325,3.0
2015-05-20 20:00:00,63rd Street Beach,1432152000,10.7,2.4,0.326,4.0,63rdStreetBeach201505202000,10.7,2.4,0.326,4.0
2015-05-20 21:00:00,Calumet Beach,1432155600,11.7,2.4,0.22,4.0,CalumetBeach201505202100,11.7,2.4,0.22,4.0
2015-05-20 21:00:00,Montrose Beach,1432155600,11.5,2.29,0.279,5.0,MontroseBeach201505202100,11.5,2.29,0.279,5.0
2015-05-20 21:00:00,63rd Street Beach,1432155600,10.7,2.95,0.292,5.0,63rdStreetBeach201505202100,10.7,2.95,0.292,5.0
2015-05-20 22:00:00,63rd Street Beach,1432159200,10.7,2.515,0.2605,4.0,63rdStreetBeach201505202200,10.7,2.515,0.2605,4.0
2015-05-20 22:00:00,Montrose Beach,1432159200,11.3,2.02,0.259,5.0,MontroseBeach201505202200,11.3,2.02,0.259,5.0
2015-05-20 22:00:00,Calumet Beach,1432159200,11.7,2.2,0.207,4.0,CalumetBeach201505202200,11.7,2.2,0.207,4.0
2015-05-20 23:00:00,63rd Street Beach,1432162800,10.7,2.08,0.229,3.0,63rdStreetBeach201505202300,10.7,2.08,0.229,3.0
2015-05-20 23:00:00,Montrose Beach,1432162800,11.2,2.69,0.221,5.0,MontroseBeach201505202300,11.2,2.69,0.221,5.0
2015-05-20 23:00:00,Calumet Beach,1432162800,11.6,2.25,0.195,4.0,CalumetBeach201505202300,11.6,2.25,0.195,4.0
2015-05-21 00:00:00,Calumet Beach,1432166400,11.6,2.26,0.185,5.0,CalumetBeach201505210000,11.6,2.26,0.185,5.0
2015-05-21 00:00:00,Montrose Beach,1432166400,11.1,2.35,0.219,5.0,MontroseBeach201505210000,11.1,2.35,0.219,5.0
2015-05-21 00:00:00,63rd Street Beach,1432166400,10.8,1.93,0.22,5.0,63rdStreetBeach201505210000,10.8,1.93,0.22,5.0
2015-05-21 01:00:00,Calumet Beach,1432170000,11.6,2.25,0.17,4.0,CalumetBeach201505210100,11.6,2.25,0.17,4.0
2015-05-21 01:00:00,63rd Street Beach,1432170000,10.7,2.05,0.189,4.0,63rdStreetBeach201505210100,10.7,2.05,0.189,4.0
2015-05-21 01:00:00,Montrose Beach,1432170000,11.2,2.13,0.202,5.0,MontroseBeach201505210100,11.2,2.13,0.202,5.0
2015-05-21 02:00:00,Montrose Beach,1432173600,11.1,1.83,0.197,4.0,MontroseBeach201505210200,11.1,1.83,0.197,4.0
2015-05-21 02:00:00,63rd Street Beach,1432173600,10.7,1.92,0.189,5.0,63rdStreetBeach201505210200,10.7,1.92,0.189,5.0
2015-05-21 02:00:00,Calumet Beach,1432173600,11.6,2.18,0.16,3.0,CalumetBeach201505210200,11.6,2.18,0.16,3.0
2015-05-21 03:00:00,Calumet Beach,1432177200,11.5,2.11,0.146,3.0,CalumetBeach201505210300,11.5,2.11,0.146,3.0
2015-05-21 03:00:00,63rd Street Beach,1432177200,10.7,1.93,0.185,5.0,63rdStreetBeach201505210300,10.7,1.93,0.185,5.0
