pattern_name,TP,FP,FN,precision,recall,F1,FP_events,FN_events,dataset
Calumet_HighTurbidity_85,64,48,13,0.5714285714285714,0.8311688311688312,0.6772486772486772,"[21.259, 21.321, 21.381, 21.443, 21.506, 21.585, 21.629, 21.693, 22.851, 74.249, 74.319, 74.382, 74.452, 74.633, 166.703, 167.855, 167.912, 167.971, 168.247, 179.167, 191.351, 191.406, 191.481, 191.544, 191.615, 191.679, 191.734, 191.785, 191.844, 191.907, 191.968, 192.031, 192.087, 192.149, 192.213, 192.273, 192.326, 192.38, 192.434, 192.485, 192.558, 192.621, 192.687, 192.741, 192.802, 192.861, 192.924, 192.975]","[182.545, 196.04, 196.102, 196.178, 196.24, 196.289, 196.351, 196.428, 196.477, 196.54, 196.616, 196.665, 196.727]",mar_30
Calumet_HighWave_85,20,20,11,0.5,0.6451612903225806,0.5633802816901409,"[21.017, 21.147, 21.197, 21.259, 21.324, 21.381, 21.443, 191.907, 191.968, 192.031, 192.087, 192.149, 192.217, 192.273, 192.327, 192.38, 192.434, 192.485, 192.558, 192.621]","[195.73, 195.806, 195.852, 195.944, 195.978, 196.04, 196.102, 196.178, 196.24, 196.289, 196.351]",mar_30
Calumet_LocalAlert_85,64,29,13,0.6881720430107527,0.8311688311688312,0.7529411764705883,"[21.259, 21.321, 21.381, 21.443, 21.506, 21.585, 22.851, 74.249, 166.703, 167.855, 168.134, 168.247, 179.167, 191.351, 191.406, 191.481, 191.544, 191.615, 191.679, 191.735, 191.785, 191.844, 191.907, 191.968, 192.031, 192.087, 192.861, 192.924, 192.975]","[182.545, 196.04, 196.102, 196.178, 196.24, 196.289, 196.351, 196.428, 196.477, 196.54, 196.616, 196.665, 196.727]",mar_30
Calumet_WaterTempDrop_85,2291,270,12,0.8945724326434986,0.9947894051237516,0.9420230263157894,"[9.168, 10.288, 10.419, 10.587, 12.711, 12.834, 13.715, 14.03, 14.15, 14.264, 15.28, 15.464, 17.031, 17.148, 17.271, 22.851, 23.093, 26.201, 26.509, 27.482, 27.794, 27.916, 28.036, 28.159, 28.29, 28.411, 28.598, 29.512, 30.979, 38.291, 38.714, 38.836, 39.024, 39.15, 42.776, 42.967, 43.21, 43.461, 43.588, 43.708, 43.83, 45.137, 48.137, 49.402, 50.507, 51.387, 51.503, 52.514, 52.631, 53.325, 53.502, 57.514, 57.679, 57.816, 57.951, 58.245, 58.495, 58.862, 59.187, 59.365, 59.672, 59.805, 60.79, 60.928, 61.109, 61.94, 62.308, 62.418, 63.618, 65.771, 65.837, 65.892, 65.951, 66.007, 66.065, 66.121, 66.197, 66.261, 66.321, 66.377, 66.451, 66.514, 66.585, 66.649, 66.718, 66.783, 66.843, 66.892, 66.962, 68.541, 70.284, 70.419, 71.273, 71.338, 71.974, 72.281, 72.329, 72.387, 72.474, 72.511, 72.573, 76.272, 76.466, 76.954, 77.149, 77.283, 77.65, 79.762, 82.729, 82.788, 82.852, 82.907, 82.957, 83.03, 83.093, 83.164, 83.227, 83.298, 85.242, 86.24, 87.988, 88.183, 88.436, 88.857, 90.86, 93.001, 93.05, 93.123, 93.184, 93.242, 93.305, 93.375, 93.439, 93.497, 93.552, 93.611, 93.753, 93.807, 93.865, 93.92, 93.975, 94.027, 94.099, 95.234, 99.487, 99.552, 99.608, 99.665, 132.386, 132.462, 132.528, 132.589, 133.372, 133.421, 133.476, 133.534, 133.59, 133.654, 133.709, 133.769, 133.83, 133.908, 133.966, 134.025, 134.084, 134.139, 134.207, 134.278, 134.328, 134.4, 134.464, 134.524, 134.575, 134.632, 135.275, 135.332, 135.387, 135.446, 135.494, 138.544, 138.843, 138.965, 139.277, 139.399, 139.839, 142.321, 143.399, 143.507, 144.138, 144.378, 146.186, 146.32, 147.546, 148.755, 150.257, 150.38, 152.313, 153.712, 153.776, 153.833, 153.897, 155.0, 155.444, 155.499, 155.606, 157.985, 158.3, 158.406, 158.875, 158.927, 159.001, 159.07, 159.134, 159.202, 159.256, 159.319, 159.733, 159.977, 160.163, 160.222, 160.282, 160.329, 160.4, 160.472, 160.6, 160.856, 163.846, 168.41, 169.104, 169.277, 169.789, 171.353, 171.473, 171.663, 172.61, 172.724, 172.848, 173.729, 174.788, 175.356, 175.6, 175.855, 176.29, 176.677, 176.792, 177.431, 178.844, 178.984, 179.848, 180.101, 180.21, 180.524, 181.208, 181.329, 183.027, 183.445, 183.882, 184.389, 185.585, 185.799, 187.435, 188.693, 188.813, 190.178, 190.352, 191.299, 191.406, 191.734, 191.844, 192.975]","[196.038, 196.101, 196.177, 196.24, 196.289, 196.351, 196.428, 196.477, 196.539, 196.616, 196.665, 196.727]",mar_30
MontroseToCalumet_AlertSpread_85,8,2,0,0.8,1.0,0.888888888888889,"[21.259, 74.249]",[],mar_30
Montrose_HighTurbidity_85,155,55,0,0.7380952380952381,1.0,0.8493150684931507,"[21.143, 24.798, 24.918, 24.988, 25.235, 25.294, 25.42, 25.482, 25.605, 25.665, 25.725, 28.656, 28.717, 28.775, 28.9, 28.958, 29.023, 29.08, 29.143, 29.204, 29.514, 30.983, 73.465, 73.536, 73.6, 73.663, 73.727, 73.797, 73.86, 73.918, 73.978, 74.059, 76.272, 84.783, 84.852, 84.916, 84.985, 85.049, 85.107, 85.17, 85.242, 85.305, 85.375, 85.438, 85.516, 85.581, 85.644, 85.705, 85.778, 85.839, 85.914, 85.972, 86.042, 86.107, 86.24]",[],mar_30
Montrose_HighWave_85,230,127,0,0.6442577030812325,1.0,0.7836456558773425,"[20.531, 20.593, 20.657, 20.714, 20.771, 20.836, 20.959, 28.961, 29.023, 29.083, 29.143, 29.207, 29.263, 29.331, 29.387, 29.455, 29.514, 29.573, 39.147, 39.205, 39.269, 39.331, 39.392, 39.515, 39.582, 44.762, 44.821, 44.888, 44.949, 45.01, 45.074, 45.14, 45.202, 48.437, 48.492, 48.545, 48.605, 48.667, 48.729, 48.791, 48.853, 48.925, 48.992, 59.741, 59.805, 59.869, 59.917, 59.982, 65.048, 65.113, 65.166, 65.242, 65.306, 65.363, 65.418, 65.474, 65.529, 65.583, 65.637, 66.451, 66.514, 66.585, 73.025, 73.084, 73.144, 73.196, 73.252, 73.317, 73.385, 73.465, 73.536, 73.6, 73.663, 73.727, 73.797, 73.86, 73.918, 73.978, 74.059, 74.117, 74.188, 74.249, 76.272, 76.414, 76.464, 84.649, 84.719, 84.783, 84.852, 84.916, 84.985, 85.049, 85.107, 85.17, 85.242, 85.305, 85.375, 85.438, 85.516, 85.581, 85.644, 85.705, 85.778, 85.839, 114.994, 115.115, 115.32, 122.981, 123.038, 123.102, 123.178, 123.243, 123.304, 123.358, 123.478, 123.532, 124.113, 124.224, 124.271, 124.338, 124.392, 163.125, 163.172, 163.247, 163.311, 163.371, 163.434]",[],mar_30
Montrose_LocalAlert_85,155,40,0,0.7948717948717948,1.0,0.8857142857142858,"[21.147, 24.798, 24.918, 24.988, 25.235, 25.294, 25.421, 25.482, 25.605, 25.665, 25.725, 28.656, 28.717, 28.775, 28.9, 28.961, 29.023, 29.083, 29.143, 29.204, 29.514, 30.983, 73.465, 73.536, 73.6, 73.663, 73.727, 73.797, 73.86, 73.918, 73.978, 74.059, 76.272, 84.783, 84.916, 84.985, 85.049, 85.107, 85.17, 85.242]",[],mar_30
Montrose_WaterTempDrop_85,2104,243,0,0.8964635705155518,1.0,0.9454055268478994,"[8.231, 10.292, 10.48, 13.964, 14.15, 14.335, 16.53, 16.712, 17.035, 17.148, 24.798, 24.918, 24.988, 25.235, 25.294, 25.42, 25.482, 25.604, 25.665, 25.722, 26.448, 26.509, 26.566, 27.794, 27.919, 28.039, 28.159, 28.29, 28.41, 28.595, 29.514, 30.983, 31.224, 31.774, 31.955, 35.15, 35.268, 35.394, 38.291, 43.149, 43.458, 43.588, 43.708, 43.83, 44.016, 44.14, 44.262, 44.57, 44.7, 44.949, 45.14, 45.262, 45.387, 47.222, 47.714, 47.888, 48.197, 49.457, 49.819, 50.501, 51.503, 52.514, 53.502, 53.631, 57.204, 57.265, 57.318, 57.373, 57.431, 57.514, 57.573, 57.631, 57.679, 58.865, 59.187, 59.365, 59.672, 59.805, 60.79, 60.928, 61.11, 63.619, 63.863, 63.979, 64.241, 65.048, 65.306, 67.539, 68.54, 69.845, 71.974, 72.281, 75.892, 76.272, 76.462, 76.954, 77.149, 77.65, 79.765, 80.816, 81.32, 81.439, 81.895, 85.242, 87.988, 88.436, 89.549, 90.857, 92.853, 92.936, 93.001, 93.184, 93.242, 95.231, 95.586, 95.65, 98.489, 98.542, 98.596, 98.653, 98.713, 98.758, 98.814, 98.954, 101.053, 102.679, 105.359, 105.432, 105.486, 105.556, 105.815, 117.355, 117.419, 117.48, 117.53, 117.586, 117.653, 117.709, 117.77, 117.82, 117.876, 117.935, 117.986, 118.046, 118.097, 118.156, 118.208, 118.275, 118.34, 118.411, 118.474, 118.545, 118.61, 118.689, 118.755, 118.81, 118.869, 118.928, 119.082, 119.46, 119.596, 119.709, 121.235, 121.477, 126.743, 126.81, 126.874, 130.673, 130.745, 130.809, 130.867, 130.918, 130.992, 131.059, 131.105, 131.169, 131.245, 131.313, 131.378, 131.443, 131.502, 131.561, 131.613, 131.666, 131.722, 131.771, 131.844, 131.909, 131.967, 132.016, 132.089, 132.154, 132.213, 132.261, 132.321, 132.386, 132.462, 132.519, 132.589, 132.655, 132.713, 132.764, 132.824, 135.275, 137.789, 137.954, 138.086, 138.218, 138.965, 139.279, 139.912, 141.96, 142.321, 143.399, 143.507, 144.136, 144.247, 144.38, 146.186, 146.32, 147.546, 148.644, 148.755, 151.322, 152.316, 152.511, 155.0, 155.499, 155.606, 155.743, 155.952, 156.062, 156.105, 156.412, 157.167, 157.985, 158.117, 158.3, 158.406, 159.84, 159.977, 160.222, 162.658]",[],mar_30
Regional_TripleAlert_85,10,1,0,0.9090909090909091,1.0,0.9523809523809523,[74.249],[],mar_30
