# Started Tue Oct 21 20:01:56 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Wave_Period,63rdStreetBeach201509061400_Wave_Period,None,1761091484.772208,1441548000,float,None,7.0,source,6.323897540971524,0.0025475066081976894,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 7.0},1761091484.7762077
Calumet_Beach_Water_Temperature,CalumetBeach201509061400_Water_Temperature,None,1761091484.772208,1441548000,float,None,20.1,source,20.10050485300633,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 20.1},1761091484.7762077
Calumet_Beach_Wave_Height,CalumetBeach201509061400_Wave_Height,None,1761091484.7732065,1441548000,float,None,0.135,source,0.13509820170569029,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.135},1761091484.7772167
Calumet_Beach_Wave_Period,CalumetBeach201509061400_Wave_Period,None,1761091484.7732065,1441548000,float,None,3.0,source,2.915845253398253,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091484.778212
Montrose_Beach_Water_Temperature,MontroseBeach201509061400_Water_Temperature,None,1761091484.7742057,1441548000,float,None,14.8,source,14.799666942828573,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 14.8},1761091484.778212
Montrose_Beach_Turbidity,MontroseBeach201509061400_Turbidity,None,1761091484.7752073,1441548000,float,None,0.04,source,0.04004853308169239,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.04},1761091484.7792096
Montrose_Beach_Wave_Height,MontroseBeach201509061400_Wave_Height,None,1761091484.7752073,1441548000,float,None,0.181,source,0.1809454627887747,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.181},1761091484.7792096
Montrose_Beach_Wave_Period,MontroseBeach201509061400_Wave_Period,None,1761091484.7752073,1441548000,float,None,3.0,source,3.4075841593553777,0.15687736263852853,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091484.7792096
Montrose_Beach_Water_Temperature,MontroseBeach201509061500_Water_Temperature,None,1761091484.834179,1441551600,float,None,15.1,source,15.098513190460519,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 15.1},1761091484.8361754
63rd_Street_Beach_Wave_Period,63rdStreetBeach201509061500_Wave_Period,,,1441551600,,,6.323897540971524,missing,6.323897540971524,0.0023050793723786017,KalmanFilter,0.0023050793017911422,True,reconstructed,,{'ground_truth': 3.0},1761091484.8361754
Montrose_Beach_Turbidity,MontroseBeach201509061500_Turbidity,None,1761091484.8351738,1441551600,float,None,0.13,source,0.12955468479453933,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.13},1761091484.8371742
Montrose_Beach_Wave_Height,MontroseBeach201509061500_Wave_Height,None,1761091484.8351738,1441551600,float,None,0.193,source,0.1929403226106382,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.193},1761091484.838174
Montrose_Beach_Wave_Period,MontroseBeach201509061500_Wave_Period,None,1761091484.8351738,1441551600,float,None,3.0,source,3.09555222183793,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091484.838174
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201509061500_Water_Temperature,None,1761091484.8351738,1441551600,float,None,17.6,source,17.600985270508886,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 17.6},1761091484.839177
63rd_Street_Beach_Turbidity,63rdStreetBeach201509061500_Turbidity,None,1761091484.8351738,1441551600,float,None,1.02,source,1.0181204819552205,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.02},1761091484.8401747
63rd_Street_Beach_Wave_Height,63rdStreetBeach201509061500_Wave_Height,None,1761091484.8351738,1441551600,float,None,0.089,source,0.08893581064421531,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.089},1761091484.8411784
Calumet_Beach_Water_Temperature,CalumetBeach201509061500_Water_Temperature,None,1761091484.8371742,1441551600,float,None,19.7,source,19.70198274588525,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 19.7},1761091484.8411784
Calumet_Beach_Turbidity,CalumetBeach201509061500_Turbidity,None,1761091484.8371742,1441551600,float,None,1.49,source,1.489139396182566,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.49},1761091484.842175
Calumet_Beach_Wave_Height,CalumetBeach201509061500_Wave_Height,None,1761091484.838174,1441551600,float,None,0.17,source,0.16982721458569994,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.17},1761091484.8431756
Calumet_Beach_Wave_Period,CalumetBeach201509061500_Wave_Period,None,1761091484.839177,1441551600,float,None,3.0,source,2.9809389290207364,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091484.8431756
63rd_Street_Beach_Wave_Period,63rdStreetBeach201509061600_Wave_Period,,,1441555200,,,6.323897540971524,missing,6.323897540971524,0.0020857221038465064,KalmanFilter,0.002085722067671004,True,reconstructed,,{'ground_truth': 3.0},1761091484.8968797
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201509061600_Water_Temperature,None,1761091484.8968797,1441555200,float,None,17.8,source,17.799014754420476,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 17.8},1761091484.8978794
63rd_Street_Beach_Turbidity,63rdStreetBeach201509061600_Turbidity,None,1761091484.8968797,1441555200,float,None,0.72,source,0.7214758801409485,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.72},1761091484.8988812
63rd_Street_Beach_Wave_Height,63rdStreetBeach201509061600_Wave_Height,None,1761091484.8968797,1441555200,float,None,0.096,source,0.09596502790846934,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.096},1761091484.8988812
Montrose_Beach_Water_Temperature,MontroseBeach201509061600_Water_Temperature,None,1761091484.8968797,1441555200,float,None,14.8,source,14.801477824289519,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 14.8},1761091484.900881
