# Started Wed Oct 22 09:59:29 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,None,1761141569.450252,1432040400,float,None,3.0,source,2.9958289885297185,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761141569.454255
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,None,1761141569.450252,1432040400,float,None,12.0,source,11.997009966777409,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1761141569.4552586
Montrose_Beach_Turbidity,MontroseBeach201505191300_Turbidity,None,1761141569.4512525,1432040400,float,None,0.5,source,0.49979441127613033,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.5},1761141569.4552586
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,None,1761141569.4512525,1432040400,float,None,0.25,source,0.2499082580878604,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.25},1761141569.456254
Montrose_Beach_Wave_Period,MontroseBeach201505191300_Wave_Period,None,1761141569.4512525,1432040400,float,None,3.0,source,2.9958289885297185,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761141569.456254
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191400_Water_Temperature,None,1761141569.5142965,1432044000,float,None,11.3,source,11.299999178981938,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1761141569.529327
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191400_Wave_Height,None,1761141569.5142965,1432044000,float,None,0.237,source,0.23678724664809958,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.237},1761141569.529327
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191400_Wave_Period,None,1761141569.5142965,1432044000,float,None,3.0,source,2.999946408265185,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761141569.5303068
Calumet_Beach_Water_Temperature,CalumetBeach201505191400_Water_Temperature,None,1761141569.5142965,1432044000,float,None,12.9,source,12.89999985343811,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1761141569.5303068
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,None,1761141569.5152953,1432044000,float,None,1.38,source,1.379187842305225,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.38},1761141569.531308
