# Started Tue Oct 21 19:54:08 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Montrose_Beach_Turbidity,MontroseBeach201506150600_Turbidity,None,1761090889.1030695,1434348000,float,None,0.52,source,0.520345817577064,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.52},1761090889.1030695
Montrose_Beach_Wave_Height,MontroseBeach201506150600_Wave_Height,None,1761090889.1030695,1434348000,float,None,0.075,source,0.07500510068218791,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.075},1761090889.1082635
Montrose_Beach_Wave_Period,MontroseBeach201506150600_Wave_Period,None,1761090889.1030695,1434348000,float,None,4.0,source,4.013956874975227,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1761090889.1102722
Calumet_Beach_Water_Temperature,CalumetBeach201506150600_Water_Temperature,None,1761090889.1030695,1434348000,float,None,16.1,source,16.10000000006007,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 16.1},1761090889.1102722
Calumet_Beach_Turbidity,CalumetBeach201506150600_Turbidity,None,1761090889.1030695,1434348000,float,None,1.06,source,1.060595045798921,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.06},1761090889.1102722
Calumet_Beach_Wave_Height,CalumetBeach201506150600_Wave_Height,None,1761090889.1030695,1434348000,float,None,0.065,source,0.0650001958267469,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.065},1761090889.1102722
Calumet_Beach_Wave_Period,CalumetBeach201506150600_Wave_Period,None,1761090889.1030695,1434348000,float,None,4.0,source,4.10478962096657,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1761090889.1102722
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201506150600_Water_Temperature,None,1761090889.1030695,1434348000,float,None,16.1,source,16.100002463053592,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 16.1},1761090889.1102722
63rd_Street_Beach_Turbidity,63rdStreetBeach201506150600_Turbidity,None,1761090889.1030695,1434348000,float,None,1.32,source,1.3203909315456557,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.32},1761090889.1102722
63rd_Street_Beach_Wave_Height,63rdStreetBeach201506150600_Wave_Height,None,1761090889.1030695,1434348000,float,None,0.064,source,0.06398044370776246,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.064},1761090889.1102722
63rd_Street_Beach_Wave_Period,63rdStreetBeach201506150600_Wave_Period,None,1761090889.1082635,1434348000,float,None,4.0,source,4.0497584781265346,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1761090889.1102722
Montrose_Beach_Water_Temperature,MontroseBeach201506150700_Water_Temperature,None,1761090889.1832917,1434351600,float,None,15.5,source,15.500002462993821,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 15.5},1761090889.196822
Montrose_Beach_Turbidity,MontroseBeach201506150700_Turbidity,None,1761090889.1832917,1434351600,float,None,0.59,source,0.5896551688636158,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.59},1761090889.196822
Montrose_Beach_Wave_Height,MontroseBeach201506150700_Wave_Height,None,1761090889.1832917,1434351600,float,None,0.077,source,0.07699012401876235,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.077},1761090889.196822
