,process_noise,measurement_noise,mode,rmse,norm_rmse
Water Temperature,2.0,0.01,position,0.7767822120492401,0.24127574819993852
Turbidity,2.0,0.01,position,0.9270443198426795,0.4640509988000777
Wave Height,2.0,0.01,position,0.05296642443573955,0.4970617755103303
Wave Period,0.05,0.02,position,1.4561458558857108,0.8285196145115917
