attribute,mode,Q,R,rmse,norm_rmse
Wave Period,velocity,0.2,0.1,1.802776147655356,1.025745733415966
Wave Period,velocity,0.2,0.2,1.7848431765695165,1.0155422100319367
Wave Period,velocity,0.5,0.01,1.823774204235703,1.037693232818668
Wave Period,velocity,0.5,0.02,1.822257470061988,1.036830239590453
Wave Period,velocity,0.5,0.05,1.817973316023808,1.0343926364905478
Wave Period,velocity,0.5,0.1,1.8115997705047653,1.0307662089213827
Wave Period,velocity,0.5,0.2,1.801062522140282,1.024770712716338
Wave Period,velocity,1.0,0.01,1.8184306825396175,1.0346528694389419
Wave Period,velocity,1.0,0.02,1.8176729336316995,1.0342217245570282
Wave Period,velocity,1.0,0.05,1.815472248882498,1.0329695763105458
Wave Period,velocity,1.0,0.1,1.8120279759047924,1.0310098497431646
Wave Period,velocity,1.0,0.2,1.805861711053916,1.0275013609770325
Wave Period,velocity,2.0,0.01,1.8138611300130347,1.0320528799650082
Wave Period,velocity,2.0,0.02,1.8134860392455652,1.0318394603705257
Wave Period,velocity,2.0,0.05,1.8123806896731571,1.031210537245874
Wave Period,velocity,2.0,0.1,1.8106017631396993,1.0301983614945318
Wave Period,velocity,2.0,0.2,1.8072607790004078,1.02829740433424
Wave Period,acceleration,0.01,0.01,3.1073909129639783,1.7680470063761298
Wave Period,acceleration,0.01,0.02,3.0078555477911597,1.711413254990632
Wave Period,acceleration,0.01,0.05,2.8472394121880757,1.620025693630396
