# Logger: PatternLogger | Started: Tue Dec 30 12:10:48 EST 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2025-12-30 12:11:19.111,30.709,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[aaa19098-f82b-43ea-a54f-7ed1b4c99e1c]]
2025-12-30 12:11:19.998,31.596,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[01bc6f07-7bd3-403f-a90c-70024140132f]]
2025-12-30 12:11:20.892,32.490,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[733dd901-af42-4a95-9d88-7b9e7d9a7a8d]]
2025-12-30 12:11:21.784,33.382,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e2309cb6-1a2f-45bb-a107-90207bd68fad]]
2025-12-30 12:11:22.674,34.272,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[98b32563-cac9-46de-8626-9591d71b5496]]
2025-12-30 12:11:23.564,35.162,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7d14031e-83bf-402c-b6db-c98939bdb0e5]]
2025-12-30 12:11:24.450,36.048,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[9dd19b3c-5245-4758-b431-b34acd5d162c]]
2025-12-30 12:11:25.435,37.033,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[fbaec2d5-7c87-4b82-9b63-ca89998988f0]]
2025-12-30 12:11:26.230,37.828,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[61c7e020-fcb9-4866-8849-0dad4363c178]]
2025-12-30 12:11:27.223,38.821,EngineOverheat,atomic,[EngineOverheat],[0.9937],1,1,0.9937,[engine-temp-1],[[bda0d7aa-8787-44d7-bb84-6dfbb9107731]]
